# Recipe Format - Auto-generated from G-code
# X,Z,F,CMD
# CMD: 0=G0(Rapid), 1=G1(Linear), 10=ToolChange, 99=End
#
X,Z,F,CMD
# --- Guvenli Z ---
0.000,-150.000,0,0
# --- Guvenli X ---
300.000,-150.000,0,0
# --- Tool Change ---
0.000,0.000,0,10
155.944,-55.823,0,0
155.750,-54.814,300,1
155.557,-53.783,300,1
155.368,-52.730,300,1
155.182,-51.657,300,1
155.000,-50.565,300,1
154.822,-49.455,300,1
154.648,-48.327,300,1
154.480,-47.184,300,1
154.316,-46.027,300,1
154.158,-44.855,300,1
154.007,-43.672,300,1
153.861,-42.476,300,1
153.723,-41.271,300,1
153.592,-40.056,300,1
153.469,-38.833,300,1
153.353,-37.603,300,1
153.246,-36.368,300,1
153.148,-35.127,300,1
153.059,-33.883,300,1
152.980,-32.637,300,1
152.911,-31.389,300,1
152.852,-30.140,300,1
152.804,-28.893,300,1
152.767,-27.647,300,1
152.742,-26.404,300,1
152.729,-25.166,300,1
152.728,-23.932,300,1
152.740,-22.705,300,1
152.765,-21.485,300,1
152.804,-20.274,300,1
152.857,-19.073,300,1
152.924,-17.882,300,1
153.005,-16.703,300,1
153.102,-15.537,300,1
153.215,-14.385,300,1
153.343,-13.248,300,1
153.488,-12.128,300,1
153.649,-11.025,300,1
153.828,-9.940,300,1
154.024,-8.875,300,1
154.238,-7.831,300,1
154.471,-6.808,300,1
154.722,-5.809,300,1
154.992,-4.833,300,1
155.281,-3.883,300,1
155.591,-2.959,300,1
155.921,-2.062,300,1
156.271,-1.194,300,1
156.643,-0.355,300,1
157.036,0.453,300,1
157.451,1.229,300,1
157.888,1.973,300,1
158.348,2.682,300,1
158.830,3.357,300,1
159.337,3.995,300,1
159.867,4.596,300,1
160.421,5.158,300,1
161.000,5.681,300,1
161.604,6.163,300,1
162.233,6.604,300,1
162.888,7.001,300,1
163.570,7.355,300,1
164.277,7.664,300,1
165.012,7.926,300,1
165.773,8.144,300,1
166.558,8.319,300,1
167.367,8.450,300,1
168.198,8.540,300,1
169.051,8.590,300,1
169.925,8.602,300,1
170.817,8.575,300,1
171.728,8.512,300,1
172.656,8.414,300,1
173.599,8.281,300,1
174.558,8.116,300,1
175.530,7.919,300,1
176.514,7.691,300,1
177.511,7.434,300,1
178.517,7.150,300,1
179.533,6.838,300,1
180.557,6.501,300,1
181.588,6.139,300,1
182.625,5.754,300,1
183.667,5.347,300,1
184.712,4.919,300,1
185.760,4.471,300,1
186.810,4.006,300,1
187.860,3.522,300,1
188.909,3.023,300,1
189.957,2.510,300,1
191.001,1.982,300,1
192.042,1.442,300,1
193.077,0.891,300,1
194.107,0.330,300,1
195.128,-0.239,300,1
196.142,-0.816,300,1
197.146,-1.400,300,1
198.139,-1.989,300,1
199.120,-2.581,300,1
200.089,-3.176,300,1
201.043,-3.773,300,1
201.983,-4.370,300,1
202.906,-4.966,300,1
203.812,-5.561,300,1
204.699,-6.151,300,1
205.567,-6.737,300,1
206.414,-7.318,300,1
# --- Retract ---
256.414,-57.318,0,0
176.837,-29.665,0,0
176.370,-28.750,300,1
175.898,-27.812,300,1
175.424,-26.854,300,1
174.947,-25.875,300,1
174.468,-24.876,300,1
173.989,-23.859,300,1
173.509,-22.825,300,1
173.029,-21.774,300,1
172.550,-20.707,300,1
172.073,-19.626,300,1
171.598,-18.530,300,1
171.127,-17.423,300,1
170.659,-16.303,300,1
170.195,-15.173,300,1
169.737,-14.032,300,1
169.284,-12.883,300,1
168.838,-11.726,300,1
168.399,-10.562,300,1
167.968,-9.391,300,1
167.545,-8.216,300,1
167.132,-7.036,300,1
166.728,-5.853,300,1
166.335,-4.668,300,1
165.954,-3.482,300,1
165.584,-2.295,300,1
165.227,-1.109,300,1
164.884,0.076,300,1
164.554,1.258,300,1
164.239,2.436,300,1
163.940,3.611,300,1
163.656,4.779,300,1
163.390,5.942,300,1
163.141,7.097,300,1
162.910,8.244,300,1
162.698,9.382,300,1
162.505,10.510,300,1
162.333,11.626,300,1
162.181,12.731,300,1
162.052,13.822,300,1
161.944,14.900,300,1
161.859,15.962,300,1
161.798,17.009,300,1
161.762,18.039,300,1
161.750,19.051,300,1
161.764,20.045,300,1
161.805,21.018,300,1
161.872,21.972,300,1
161.967,22.903,300,1
162.091,23.812,300,1
162.244,24.698,300,1
162.427,25.559,300,1
162.640,26.394,300,1
162.885,27.203,300,1
163.161,27.985,300,1
163.470,28.739,300,1
163.812,29.464,300,1
164.188,30.158,300,1
164.599,30.821,300,1
165.045,31.452,300,1
165.527,32.050,300,1
166.046,32.614,300,1
166.602,33.143,300,1
167.196,33.637,300,1
167.829,34.093,300,1
168.499,34.514,300,1
169.205,34.900,300,1
169.946,35.251,300,1
170.719,35.569,300,1
171.525,35.854,300,1
172.360,36.107,300,1
173.225,36.330,300,1
174.118,36.522,300,1
175.036,36.686,300,1
175.979,36.821,300,1
176.946,36.928,300,1
177.934,37.009,300,1
178.944,37.064,300,1
179.972,37.095,300,1
181.018,37.101,300,1
182.080,37.084,300,1
183.158,37.044,300,1
184.249,36.983,300,1
185.352,36.902,300,1
186.466,36.800,300,1
187.589,36.680,300,1
188.720,36.541,300,1
189.858,36.385,300,1
191.001,36.213,300,1
192.147,36.025,300,1
193.296,35.823,300,1
194.446,35.607,300,1
195.596,35.377,300,1
196.744,35.136,300,1
197.888,34.883,300,1
199.028,34.620,300,1
200.162,34.347,300,1
201.289,34.066,300,1
202.406,33.776,300,1
203.514,33.480,300,1
204.610,33.177,300,1
205.692,32.869,300,1
206.761,32.557,300,1
207.813,32.241,300,1
208.848,31.922,300,1
209.865,31.601,300,1
210.862,31.279,300,1
211.837,30.957,300,1
# --- Retract ---
261.837,-19.043,0,0
176.837,-6.029,0,0
176.370,-5.113,300,1
175.898,-4.176,300,1
175.424,-3.217,300,1
174.947,-2.238,300,1
174.468,-1.240,300,1
173.989,-0.223,300,1
173.509,0.812,300,1
173.029,1.863,300,1
172.550,2.929,300,1
172.073,4.011,300,1
171.598,5.106,300,1
171.127,6.214,300,1
170.659,7.333,300,1
170.195,8.464,300,1
169.737,9.604,300,1
169.284,10.753,300,1
168.838,11.911,300,1
168.399,13.075,300,1
167.968,14.245,300,1
167.545,15.421,300,1
167.132,16.600,300,1
166.728,17.783,300,1
166.335,18.968,300,1
165.954,20.155,300,1
165.584,21.341,300,1
165.227,22.528,300,1
164.884,23.712,300,1
164.554,24.894,300,1
164.239,26.073,300,1
163.940,27.247,300,1
163.656,28.416,300,1
163.390,29.578,300,1
163.141,30.734,300,1
162.910,31.881,300,1
162.698,33.018,300,1
162.505,34.146,300,1
162.333,35.263,300,1
162.181,36.367,300,1
162.052,37.459,300,1
161.944,38.536,300,1
161.859,39.599,300,1
161.798,40.645,300,1
161.762,41.675,300,1
161.750,42.688,300,1
161.764,43.681,300,1
161.805,44.655,300,1
161.872,45.608,300,1
161.967,46.539,300,1
162.091,47.448,300,1
162.244,48.334,300,1
162.427,49.195,300,1
162.640,50.031,300,1
162.885,50.840,300,1
163.161,51.622,300,1
163.470,52.376,300,1
163.812,53.100,300,1
164.188,53.794,300,1
164.599,54.457,300,1
165.045,55.089,300,1
165.527,55.687,300,1
166.046,56.251,300,1
166.602,56.780,300,1
167.196,57.273,300,1
167.829,57.730,300,1
168.499,58.150,300,1
169.205,58.536,300,1
169.946,58.887,300,1
170.719,59.205,300,1
171.525,59.490,300,1
172.360,59.744,300,1
173.225,59.966,300,1
174.118,60.159,300,1
175.036,60.322,300,1
175.979,60.457,300,1
176.946,60.565,300,1
177.934,60.646,300,1
178.944,60.701,300,1
179.972,60.731,300,1
181.018,60.737,300,1
182.080,60.720,300,1
183.158,60.681,300,1
184.249,60.620,300,1
185.352,60.538,300,1
186.466,60.436,300,1
187.589,60.316,300,1
188.720,60.178,300,1
189.858,60.022,300,1
191.001,59.850,300,1
192.147,59.662,300,1
193.296,59.459,300,1
194.446,59.243,300,1
195.596,59.014,300,1
196.744,58.772,300,1
197.888,58.519,300,1
199.028,58.256,300,1
200.162,57.984,300,1
201.289,57.702,300,1
202.406,57.413,300,1
203.514,57.116,300,1
204.610,56.813,300,1
205.692,56.505,300,1
206.761,56.193,300,1
207.813,55.877,300,1
208.848,55.558,300,1
209.865,55.237,300,1
210.862,54.915,300,1
211.837,54.593,300,1
# --- Retract ---
261.837,4.593,0,0
176.837,17.608,0,0
176.370,18.523,300,1
175.898,19.460,300,1
175.424,20.419,300,1
174.947,21.398,300,1
174.468,22.397,300,1
173.989,23.414,300,1
173.509,24.448,300,1
173.029,25.499,300,1
172.550,26.566,300,1
172.073,27.647,300,1
171.598,28.742,300,1
171.127,29.850,300,1
170.659,30.970,300,1
170.195,32.100,300,1
169.737,33.240,300,1
169.284,34.390,300,1
168.838,35.547,300,1
168.399,36.711,300,1
167.968,37.882,300,1
167.545,39.057,300,1
167.132,40.237,300,1
166.728,41.419,300,1
166.335,42.605,300,1
165.954,43.791,300,1
165.584,44.978,300,1
165.227,46.164,300,1
164.884,47.348,300,1
164.554,48.531,300,1
164.239,49.709,300,1
163.940,50.883,300,1
163.656,52.052,300,1
163.390,53.215,300,1
163.141,54.370,300,1
162.910,55.517,300,1
162.698,56.655,300,1
162.505,57.782,300,1
162.333,58.899,300,1
162.181,60.003,300,1
162.052,61.095,300,1
161.944,62.172,300,1
161.859,63.235,300,1
161.798,64.282,300,1
161.762,65.312,300,1
161.750,66.324,300,1
161.764,67.317,300,1
161.805,68.291,300,1
161.872,69.244,300,1
161.967,70.176,300,1
162.091,71.085,300,1
162.244,71.970,300,1
162.427,72.831,300,1
162.640,73.667,300,1
162.885,74.476,300,1
163.161,75.258,300,1
163.470,76.012,300,1
163.812,76.736,300,1
164.188,77.431,300,1
164.599,78.094,300,1
165.045,78.725,300,1
165.527,79.323,300,1
166.046,79.887,300,1
166.602,80.416,300,1
167.196,80.909,300,1
167.829,81.366,300,1
168.499,81.787,300,1
169.205,82.172,300,1
169.946,82.524,300,1
170.719,82.841,300,1
171.525,83.127,300,1
172.360,83.380,300,1
173.225,83.603,300,1
174.118,83.795,300,1
175.036,83.958,300,1
175.979,84.093,300,1
176.946,84.201,300,1
177.934,84.282,300,1
178.944,84.337,300,1
179.972,84.367,300,1
181.018,84.373,300,1
182.080,84.356,300,1
183.158,84.317,300,1
184.249,84.256,300,1
185.352,84.174,300,1
186.466,84.073,300,1
187.589,83.952,300,1
188.720,83.814,300,1
189.858,83.658,300,1
191.001,83.486,300,1
192.147,83.298,300,1
193.296,83.096,300,1
194.446,82.879,300,1
195.596,82.650,300,1
196.744,82.409,300,1
197.888,82.156,300,1
199.028,81.893,300,1
200.162,81.620,300,1
201.289,81.338,300,1
202.406,81.049,300,1
203.514,80.752,300,1
204.610,80.450,300,1
205.692,80.142,300,1
206.761,79.829,300,1
207.813,79.513,300,1
208.848,79.194,300,1
209.865,78.874,300,1
210.862,78.552,300,1
211.837,78.230,300,1
# --- Retract ---
261.837,28.230,0,0
176.837,41.244,0,0
176.370,42.159,300,1
175.898,43.097,300,1
175.424,44.055,300,1
174.947,45.034,300,1
174.468,46.033,300,1
173.989,47.050,300,1
173.509,48.084,300,1
173.029,49.136,300,1
172.550,50.202,300,1
172.073,51.284,300,1
171.598,52.379,300,1
171.127,53.486,300,1
170.659,54.606,300,1
170.195,55.736,300,1
169.737,56.877,300,1
169.284,58.026,300,1
168.838,59.183,300,1
168.399,60.348,300,1
167.968,61.518,300,1
167.545,62.693,300,1
167.132,63.873,300,1
166.728,65.056,300,1
166.335,66.241,300,1
165.954,67.427,300,1
165.584,68.614,300,1
165.227,69.800,300,1
164.884,70.985,300,1
164.554,72.167,300,1
164.239,73.346,300,1
163.940,74.520,300,1
163.656,75.689,300,1
163.390,76.851,300,1
163.141,78.006,300,1
162.910,79.153,300,1
162.698,80.291,300,1
162.505,81.419,300,1
162.333,82.535,300,1
162.181,83.640,300,1
162.052,84.731,300,1
161.944,85.809,300,1
161.859,86.871,300,1
161.798,87.918,300,1
161.762,88.948,300,1
161.750,89.960,300,1
161.764,90.954,300,1
161.805,91.927,300,1
161.872,92.881,300,1
161.967,93.812,300,1
162.091,94.721,300,1
162.244,95.607,300,1
162.427,96.468,300,1
162.640,97.303,300,1
162.885,98.113,300,1
163.161,98.895,300,1
163.470,99.648,300,1
163.812,100.373,300,1
164.188,101.067,300,1
164.599,101.730,300,1
165.045,102.361,300,1
165.527,102.959,300,1
166.046,103.523,300,1
166.602,104.053,300,1
167.196,104.546,300,1
167.829,105.002,300,1
168.499,105.423,300,1
169.205,105.809,300,1
169.946,106.160,300,1
170.719,106.478,300,1
171.525,106.763,300,1
172.360,107.016,300,1
173.225,107.239,300,1
174.118,107.431,300,1
175.036,107.595,300,1
175.979,107.730,300,1
176.946,107.837,300,1
177.934,107.918,300,1
178.944,107.973,300,1
179.972,108.004,300,1
181.018,108.010,300,1
182.080,107.993,300,1
183.158,107.953,300,1
184.249,107.892,300,1
185.352,107.811,300,1
186.466,107.709,300,1
187.589,107.589,300,1
188.720,107.450,300,1
189.858,107.294,300,1
191.001,107.122,300,1
192.147,106.935,300,1
193.296,106.732,300,1
194.446,106.516,300,1
195.596,106.286,300,1
196.744,106.045,300,1
197.888,105.792,300,1
199.028,105.529,300,1
200.162,105.256,300,1
201.289,104.975,300,1
202.406,104.685,300,1
203.514,104.389,300,1
204.610,104.086,300,1
205.692,103.778,300,1
206.761,103.466,300,1
207.813,103.150,300,1
208.848,102.831,300,1
209.865,102.510,300,1
210.862,102.188,300,1
211.837,101.866,300,1
# --- Retract ---
261.837,51.866,0,0
176.837,64.881,0,0
176.370,65.796,300,1
175.898,66.733,300,1
175.424,67.692,300,1
174.947,68.671,300,1
174.468,69.669,300,1
173.989,70.686,300,1
173.509,71.721,300,1
173.029,72.772,300,1
172.550,73.839,300,1
172.073,74.920,300,1
171.598,76.015,300,1
171.127,77.123,300,1
170.659,78.242,300,1
170.195,79.373,300,1
169.737,80.513,300,1
169.284,81.662,300,1
168.838,82.820,300,1
168.399,83.984,300,1
167.968,85.154,300,1
167.545,86.330,300,1
167.132,87.509,300,1
166.728,88.692,300,1
166.335,89.877,300,1
165.954,91.064,300,1
165.584,92.250,300,1
165.227,93.437,300,1
164.884,94.621,300,1
164.554,95.803,300,1
164.239,96.982,300,1
163.940,98.156,300,1
163.656,99.325,300,1
163.390,100.487,300,1
163.141,101.643,300,1
162.910,102.790,300,1
162.698,103.927,300,1
